model,norm_ll,pred_time,roc_auc,source,target,train_norm_ll,train_roc_auc,train_time
Logistic Regression,0.849486645661,0.00019907951355,0.996233318984,sklearn,1,0.940487474101,0.999659979599,0.0349588394165
Decision Tree,0.328978109298,0.00484800338745,0.974117520448,from scratch,1,0.811814295768,0.993903919949,6.73717808723
Decision Tree,0.282394302204,0.000203847885132,0.973310374516,sklearn,1,0.868025654066,0.996484431923,0.0074610710144
Random Forest,0.719980198204,0.146420955658,0.99596427034,from scratch,1,0.779575480117,0.998907077282,56.2930848598
Random Forest,0.704226128489,0.0373289585114,0.996717606543,sklearn,1,0.753164262025,0.998943508039,0.208557844162
Logistic Regression,0.916722696198,8.48770141602e-05,1.0,from scratch,2,0.922009991941,1.0,6.9107401371
Logistic Regression,0.962596638533,0.000205993652344,0.999761464607,sklearn,2,0.98938924926,1.0,0.0390660762787
Decision Tree,-0.00374037985048,0.00303196907043,0.938756037927,from scratch,2,0.883621890858,0.998676349152,7.3224568367
Decision Tree,0.171142982459,0.000397920608521,0.936430317848,sklearn,2,0.913958355193,0.998360615923,0.0076699256897
Random Forest,0.759441058535,0.141642808914,1.0,from scratch,2,0.781550655158,0.999969641036,55.7491750717
Random Forest,0.739246611436,0.0334541797638,0.999940366152,sklearn,2,0.77351832329,0.999981784621,0.211323976517
Logistic Regression,0.812170486668,0.000277042388916,0.995587095235,from scratch,3,0.851698051403,0.997767517971,6.71299695969
Logistic Regression,0.872258832415,0.000195980072021,0.997733913769,sklearn,3,0.949188404035,0.99978376483,0.0369491577148
Decision Tree,-0.0542440610047,0.00305604934692,0.945435028922,from scratch,3,0.834428228176,0.993904505873,6.93048596382
Decision Tree,0.246022227015,0.000188827514648,0.977458405391,sklearn,3,0.881089264025,0.996680497925,0.00688099861145
Random Forest,0.630555918193,0.14671587944,0.9918301628,from scratch,3,0.689642218512,0.997101279878,54.1455221176
Random Forest,0.652151121519,0.0343980789185,0.991412725863,sklearn,3,0.71087244623,0.997469464087,0.208928823471
Logistic Regression,0.914644494837,6.31809234619e-05,0.998778563795,from scratch,4,0.93191447461,0.998915076693,6.91957688332
